file_name,conversation_type,spk,msg
phishing_011,Impersonation of family/child/acquaintance type,0, 친구가 사고가 나서 병원비가 필요해. 좀 도와줄 수 있어?
phishing_011,Impersonation of family/child/acquaintance type,1, 너 괜찮아? 많이 다쳤어?
phishing_011,Impersonation of family/child/acquaintance type,0, 난 괜찮아. 근데 병원비가 급해서 엄마가 좀 보내줬으면 해.
phishing_012,Impersonation of family/child/acquaintance type,0," OOO야, 나야. 너희 아빠인데, 사고가 났어."
phishing_012,Impersonation of family/child/acquaintance type,1, 아빠? 진짜 아빠 맞아요? 목소리가 이상해요.
phishing_012,Impersonation of family/child/acquaintance type,0, 목소리가 좀 안 좋아서 그래. 빨리 돈 좀 보내줘야 할 것 같아.
phishing_012,Impersonation of family/child/acquaintance type,1, 어디로 보내달라고요? 정말 아빠 맞으세요?
phishing_012,Impersonation of family/child/acquaintance type,0, 사고가 나서 빨리 이체 부탁해. 계좌번호 불러줄게.
phishing_013,Impersonation of family/child/acquaintance type,0," OOO야, 나 네 친구야. 지금 큰일 났어."
phishing_013,Impersonation of family/child/acquaintance type,1, 누구라고? OOO야? 너 목소리가 좀 이상한데?
phishing_013,Impersonation of family/child/acquaintance type,0, 급해서 그래. 나 경찰서에 있는데 벌금 내야 해.
phishing_013,Impersonation of family/child/acquaintance type,1, 그럼 네 번호로 걸면 되지 않아? 왜 다른 번호야?
phishing_013,Impersonation of family/child/acquaintance type,0, 폰이 고장 나서 그래. 지금 당장 돈 좀 보내줄 수 있어?
phishing_014,Impersonation of family/child/acquaintance type,0," 여보세요, OOO씨? 저 보험사인데요, 아드님이 사고가 났습니다."
phishing_014,Impersonation of family/child/acquaintance type,1, 보험사요? 아들이 사고 났다고요? 어디서요?
phishing_014,Impersonation of family/child/acquaintance type,0, 지금 병원에서 긴급하게 치료 중입니다. 치료비가 필요해서 연락드렸어요.
phishing_014,Impersonation of family/child/acquaintance type,1, 너무 갑작스럽군요. 어떤 보험사라고 하셨나요?
phishing_014,Impersonation of family/child/acquaintance type,0," 네, 급해서 죄송합니다. 계좌로 치료비 이체 부탁드립니다."
phishing_015,Impersonation of family/child/acquaintance type,0," 여보세요, OOO씨. 아드님이 경찰에 체포되었습니다."
phishing_015,Impersonation of family/child/acquaintance type,1, 뭐라고요? 우리 아들이요? 무슨 일인가요?
phishing_015,Impersonation of family/child/acquaintance type,0," 사소한 문제인데, 보석금이 필요합니다. 빨리 조치를 취해야 해요."
phishing_015,Impersonation of family/child/acquaintance type,1, 어떤 경찰서인지 알려주실 수 있나요?
phishing_015,Impersonation of family/child/acquaintance type,0, 지금 바로 이체해 주시면 문제가 해결될 겁니다. 계좌번호 알려드리겠습니다.
phishing_016,Impersonation of family/child/acquaintance type,0,"	여보세요, OOO 엄마지? 내 폰이 물에 빠져서 임시폰 써."
phishing_016,Impersonation of family/child/acquaintance type,1, 정말 OOO야? 목소리가 좀 달라 보이는데?
phishing_016,Impersonation of family/child/acquaintance type,0," 어, 어, 엄마, 급해. 병원비가 필요해. 돈 좀 보내줘."
phishing_016,Impersonation of family/child/acquaintance type,1, 병원비? 무슨 일이야? 무슨 병원이야?
phishing_016,Impersonation of family/child/acquaintance type,0, 이따가 자세히 설명할게. 지금은 빨리 돈 보내줘야 돼.
phishing_017,Impersonation of family/child/acquaintance type,0,	안녕하세요? OOO 친구인데요. OOO가 사고가 났어요.
phishing_017,Impersonation of family/child/acquaintance type,1, 정말이에요? OOO가 어디에 있나요? 다쳤나요?
phishing_017,Impersonation of family/child/acquaintance type,0, 병원에 있고 수술비가 필요해요. 긴급해요.
phishing_017,Impersonation of family/child/acquaintance type,1, 어디 병원이에요? 제가 직접 갈게요.
phishing_017,Impersonation of family/child/acquaintance type,0, 수술 중이라 못 들어가요. 일단 돈부터 보내주시면 안 될까요?
phishing_018,Impersonation of family/child/acquaintance type,0,"	여보세요, OOO 누나야? 내 폰 고장 나서 친구폰 빌렸어."
phishing_018,Impersonation of family/child/acquaintance type,1, OOO야? 무슨 일로 전화했니?
phishing_018,Impersonation of family/child/acquaintance type,0, 갑자기 경찰서에 와있어. 벌금 내야 돼.
phishing_018,Impersonation of family/child/acquaintance type,1, 경찰서? 무슨 일로 갔는데?
phishing_018,Impersonation of family/child/acquaintance type,0," 사소한 일인데, 돈이 없어서. 일단 좀 보내줄 수 있어?"
phishing_019,Impersonation of family/child/acquaintance type,0,"	여보세요, OOO야? 나네."
phishing_019,Impersonation of family/child/acquaintance type,1, OOO? 너 목소리가 왜 그래?
phishing_019,Impersonation of family/child/acquaintance type,0, 차 사고가 났어. 보험사에 돈 먼저 보내야 한다고 해서.
phishing_019,Impersonation of family/child/acquaintance type,1, 너 괜찮아? 어디 병원이야?
phishing_019,Impersonation of family/child/acquaintance type,0, 병원은 나중에 말할게. 지금은 돈 보내는 게 시급해.
phishing_020,Impersonation of family/child/acquaintance type,0,"	여보세요, OOO 삼촌인데, 지금 급하게 돈이 필요해."
phishing_020,Impersonation of family/child/acquaintance type,1," 삼촌? 왜 그래요, 무슨 일이에요?"
phishing_020,Impersonation of family/child/acquaintance type,0, OOO가 다쳐서 병원비가 필요해.
phishing_020,Impersonation of family/child/acquaintance type,1, 정말이에요? OOO가 어디 있나요?
phishing_020,Impersonation of family/child/acquaintance type,0, 병원에 있어. 수술 중이니까 빨리 송금해줘.
phishing_021,Impersonation of family/child/acquaintance type,0," 여보세요, 여보세요, OOO야?"
phishing_021,Impersonation of family/child/acquaintance type,1," 네, 맞아요. 무슨 일이에요?"
phishing_021,Impersonation of family/child/acquaintance type,0, 나 경찰서에 잡혔어. 교통사고가 났어. 벌금 내야 해.
phishing_021,Impersonation of family/child/acquaintance type,1, 뭐라고? 너 괜찮아? 어떻게 해야 해?
phishing_021,Impersonation of family/child/acquaintance type,0, 빨리 돈 보내줘. 변호사 비용이 필요해. 계좌번호 알려줄게.
phishing_022,Impersonation of family/child/acquaintance type,0," 엄마, 나 OOO야. 내 전화기 화면이 깨졌어."
phishing_022,Impersonation of family/child/acquaintance type,1, 뭐? OOO 맞아? 어떻게 된 거야?
phishing_022,Impersonation of family/child/acquaintance type,0," 맞아, 엄마. 친구가 큰 사고를 당해서 치료비가 필요해."
phishing_022,Impersonation of family/child/acquaintance type,1, 정말이야? 어디서 돈을 보내야 해?
phishing_022,Impersonation of family/child/acquaintance type,0, 내가 계좌번호 알려줄게. 빨리 보내줘야 해.
phishing_023,Impersonation of family/child/acquaintance type,0," 아빠, 나 OOO야. 급한 일이 생겼어."
phishing_023,Impersonation of family/child/acquaintance type,1, OOO? 무슨 일이야? 너 괜찮아?
phishing_023,Impersonation of family/child/acquaintance type,0, 친구가 다쳐서 병원비가 필요해. 도와줘야 해.
phishing_023,Impersonation of family/child/acquaintance type,1, 정말 심각한 거야? 내가 어떻게 도와줄 수 있어?
phishing_023,Impersonation of family/child/acquaintance type,0, 바로 계좌로 돈 보내줘. 나중에 다 설명할게.
phishing_024,Impersonation of family/child/acquaintance type,0," OOO야, 나 사촌이다. 긴급한 상황이야."
phishing_024,Impersonation of family/child/acquaintance type,1, 사촌? 무슨 일이야? 갑자기 왜 그래?
phishing_024,Impersonation of family/child/acquaintance type,0, 일하다가 사고가 났어. 병원비가 부족해.
phishing_024,Impersonation of family/child/acquaintance type,1, 그래? 어디로 돈 보내야 해?
phishing_024,Impersonation of family/child/acquaintance type,0, 계좌번호 불러줄게. 빨리 부탁해.
phishing_025,Impersonation of family/child/acquaintance type,0," 오빠, 나 OOO야. 핸드폰이 고장났어."
phishing_025,Impersonation of family/child/acquaintance type,1, OOO야? 무슨 일이야? 왜 전화가 달라?
phishing_025,Impersonation of family/child/acquaintance type,0, 병원에 급하게 와야 할 상황이 생겼어. 돈 좀 보내줘.
phishing_025,Impersonation of family/child/acquaintance type,1, 그게 무슨 소리야? 괜찮은 거야?
phishing_025,Impersonation of family/child/acquaintance type,0, 나중에 설명할게. 계좌번호 불러줄 테니까 빨리 부탁해.
phishing_026,Impersonation of family/child/acquaintance type,0," 여보세요, OOO지? 나 네 친구인데, OOO가 급하게 돈이 필요해."
phishing_026,Impersonation of family/child/acquaintance type,1, 네? 누구시죠? OOO가 무슨 일이 있나요?
phishing_026,Impersonation of family/child/acquaintance type,0, OOO가 교통사고를 당했어. 병원비를 빨리 내야 해.
phishing_026,Impersonation of family/child/acquaintance type,1, 정말인가요? 일단 OOO에게 직접 연락해볼게요.
phishing_026,Impersonation of family/child/acquaintance type,0, 지금 통화가 안 될 거야. 시간을 끌면 안 돼.
phishing_027,Impersonation of family/child/acquaintance type,0," OOO야, 나 네 형이야. 급히 돈 좀 보내줄 수 있겠니?"
phishing_027,Impersonation of family/child/acquaintance type,1," 네 형? 무슨 일이야, 뭐 때문에?"
phishing_027,Impersonation of family/child/acquaintance type,0, 친구가 사고가 나서 병원비가 필요해. 빠르게 처리해야 해.
phishing_027,Impersonation of family/child/acquaintance type,1, 정말 형 맞아? 목소리가 좀 이상한데.
phishing_027,Impersonation of family/child/acquaintance type,0," 그래, 맞아. 전화기가 고장 나서 다른 걸로 하는 중이야."
phishing_028,Impersonation of family/child/acquaintance type,0," 여보세요, OOO야? 엄마인데, 급히 이체 좀 해줄래?"
phishing_028,Impersonation of family/child/acquaintance type,1, 엄마? 갑자기 무슨 일이야?
phishing_028,Impersonation of family/child/acquaintance type,0, 은행에서 문제가 생겨서 돈을 빨리 보내야 해. 나중에 설명할게.
phishing_028,Impersonation of family/child/acquaintance type,1, 뭔가 좀 이상한데... 직접 은행에 물어볼게.
phishing_028,Impersonation of family/child/acquaintance type,0, 그러면 안 돼. 지금 바로 처리해야 해.
phishing_029,Impersonation of family/child/acquaintance type,0," OOO야, 아빠다. 지금 은행에 문제 생겨서 돈 좀 필요해."
phishing_029,Impersonation of family/child/acquaintance type,1, 네? 뭐가 문제야? 왜 갑자기?
phishing_029,Impersonation of family/child/acquaintance type,0, 계좌가 잠겼어. 급히 풀어야 해서 빠르게 이체 부탁해.
phishing_029,Impersonation of family/child/acquaintance type,1, 아빠 목소리 아닌 것 같은데... 무슨 일인지 확인해볼게.
phishing_029,Impersonation of family/child/acquaintance type,0," 통화가 안 될 거야, 빨리 해결해야 해."
phishing_030,Impersonation of family/child/acquaintance type,0," 여보세요, OOO씨? 경찰입니다. 가족이 사고로 병원에 있습니다."
phishing_030,Impersonation of family/child/acquaintance type,1, 뭐라고요? 어느 병원인지 알려주세요!
phishing_030,Impersonation of family/child/acquaintance type,0, 우선 병원비를 처리해야 합니다. 바로 송금 가능하신가요?
phishing_030,Impersonation of family/child/acquaintance type,1, 정말 경찰 맞나요? 경찰서에 확인해볼게요.
phishing_030,Impersonation of family/child/acquaintance type,0, 시간이 없습니다. 빠르게 처리해 주셔야 합니다.
phishing_031,Impersonation of family/child/acquaintance type,0," 여보세요, OOO야. 급히 좀 돈이 필요해."
phishing_031,Impersonation of family/child/acquaintance type,1, OOO? 무슨 일이야? 왜 돈이 필요한데?
phishing_031,Impersonation of family/child/acquaintance type,0, 친구가 사고가 나서 치료비를 먼저 내야 해.
phishing_031,Impersonation of family/child/acquaintance type,1, 정말이야? 어디서 다쳤는데?
phishing_031,Impersonation of family/child/acquaintance type,0, 병원에서 진찰받고 있어. 시간이 없으니까 빨리 보내줘.
phishing_032,Impersonation of family/child/acquaintance type,0," OOO야, 내 휴대폰이 고장 나서 임시 번호로 연락해."
phishing_032,Impersonation of family/child/acquaintance type,1," 어, OOO? 정말 네가 맞아?"
phishing_032,Impersonation of family/child/acquaintance type,0," 응, 내가 맞아. 근데 지금 급한 일이 생겼어."
phishing_032,Impersonation of family/child/acquaintance type,1, 무슨 일인데?
phishing_032,Impersonation of family/child/acquaintance type,0, 은행에서 문제가 생겨서 네 도움 필요해.
phishing_033,Impersonation of family/child/acquaintance type,0," OOO야, 나야. 좀 곤란한 상황에 빠졌어."
phishing_033,Impersonation of family/child/acquaintance type,1, 무슨 일이야? 어디에야?
phishing_033,Impersonation of family/child/acquaintance type,0, 경찰서에 있는데 금전적인 문제가 있어.
phishing_033,Impersonation of family/child/acquaintance type,1, 경찰서? 무슨 문제야?
phishing_033,Impersonation of family/child/acquaintance type,0, 나중에 설명할게. 우선 돈 좀 보내줘.
phishing_034,Impersonation of family/child/acquaintance type,0," 엄마, OOO인데 전화 좀 해준 대로 보내줄 수 있어?"
phishing_034,Impersonation of family/child/acquaintance type,1," OOO, 이 번호가 네 번호가 아니지 않아?"
phishing_034,Impersonation of family/child/acquaintance type,0," 맞아, 임시 번호야. 은행에서 문제가 생겼어."
phishing_034,Impersonation of family/child/acquaintance type,1, 정말이야? 무슨 문제가 생겼는데?
phishing_034,Impersonation of family/child/acquaintance type,0, 계좌가 잠겨서 지금 당장 풀어야 해.
phishing_035,Impersonation of family/child/acquaintance type,0," 이모, 나 OOO인데 연락 좀 해줘."
phishing_035,Impersonation of family/child/acquaintance type,1, OOO? 너 목소리가 좀 다른데?
phishing_035,Impersonation of family/child/acquaintance type,0, 지금 병원에서 급한 상황이라 그래. 돈이 필요해.
phishing_035,Impersonation of family/child/acquaintance type,1, 무슨 병원이야? 어디 아픈 거야?
phishing_035,Impersonation of family/child/acquaintance type,0, 응급처치 받고 있어. 빨리 보내줘야 해.
phishing_036,Impersonation of family/child/acquaintance type,0," 아빠, 저 휴대폰 잃어버려서 임시 번호로 연락드려요."
phishing_036,Impersonation of family/child/acquaintance type,1," 어, OOO 맞니? 무슨 일 있어?"
phishing_036,Impersonation of family/child/acquaintance type,0," 네, 맞아요. 친구가 사고가 났는데 병원비가 필요해요. 도와주실 수 있나요?"
phishing_036,Impersonation of family/child/acquaintance type,1, 어떻게 된 건데? 괜찮은 거야?
phishing_036,Impersonation of family/child/acquaintance type,0, 급하게 돈을 보내주시면 바로 해결될 것 같아요. 나중에 자세히 설명할게요.
phishing_037,Impersonation of family/child/acquaintance type,0," 엄마, 저 OOO예요. 갑자기 문제가 생겼어요."
phishing_037,Impersonation of family/child/acquaintance type,1, 무슨 문제인데? 어디 아프니?
phishing_037,Impersonation of family/child/acquaintance type,0, 아니요. 친구가 사고가 나서 돈이 급하게 필요해요.
phishing_037,Impersonation of family/child/acquaintance type,1, 정말이니? 왜 친구 번호로 연락했어?
phishing_037,Impersonation of family/child/acquaintance type,0, 제 핸드폰이 고장나서요. 빨리 돈 좀 보내주세요.
phishing_038,Impersonation of family/child/acquaintance type,0," 여보세요, OOO인데요, 휴대폰이 고장나서 임시 번호로 전화 드려요."
phishing_038,Impersonation of family/child/acquaintance type,1, OOO? 무슨 일이야? 무사한 거 맞아?
phishing_038,Impersonation of family/child/acquaintance type,0," 아빠, 친구가 사고가 났어요. 병원비가 필요해요."
phishing_038,Impersonation of family/child/acquaintance type,1, 믿을 수가 없네. 정말 OOO 맞아?
phishing_038,Impersonation of family/child/acquaintance type,0," 네, 정말이에요. 빨리 좀 부탁드려요."
phishing_039,Impersonation of family/child/acquaintance type,0," 형, 나 OOO인데, 지금 큰일 났어."
phishing_039,Impersonation of family/child/acquaintance type,1, 무슨 일이야? 어디 아픈 거야?
phishing_039,Impersonation of family/child/acquaintance type,0," 아니, 친구가 사고가 나서 병원비가 필요해."
phishing_039,Impersonation of family/child/acquaintance type,1, 너 진짜 OOO 맞아? 요즘 사기 많다던데.
phishing_039,Impersonation of family/child/acquaintance type,0," 맞아, 형. 정말 급하니까 빨리 좀 보내줘."
phishing_040,Impersonation of family/child/acquaintance type,0," 어머니, 저 OOO입니다. 급한 일이 생겼어요."
phishing_040,Impersonation of family/child/acquaintance type,1, OOO야? 무슨 일인데 그래?
phishing_040,Impersonation of family/child/acquaintance type,0, 친구가 교통사고를 당해서 병원비가 필요해요.
phishing_040,Impersonation of family/child/acquaintance type,1, 정말이니? 요즘 사기 사건이 많아서 말이야.
phishing_040,Impersonation of family/child/acquaintance type,0," 저도 알아요, 하지만 지금은 진짜라서요. 빨리 도와주세요."
phishing_041,Impersonation of family/child/acquaintance type,0," 여보세요, 지금 급한 상황이에요. 저 OOO인데요, 휴대폰이 고장 났어요."
phishing_041,Impersonation of family/child/acquaintance type,1, 어? OOO라고? 무슨 일인데 그래?
phishing_041,Impersonation of family/child/acquaintance type,0, 학교에서 사고가 나서 병원비가 필요해요. 빨리 좀 보내줘야 해요.
phishing_041,Impersonation of family/child/acquaintance type,1, 정말이야? 어디 병원인데? 직접 가볼게.
phishing_041,Impersonation of family/child/acquaintance type,0, 여기서는 바로 보내주는 게 더 빨라요. 내가 나중에 다 설명할게요.
phishing_042,Impersonation of family/child/acquaintance type,0," 아빠, 지금 OOO예요. 친구가 사고 났는데 돈이 급히 필요해요."
phishing_042,Impersonation of family/child/acquaintance type,1, 뭐라고? 왜 그렇게 된 거야? 어디 있어?
phishing_042,Impersonation of family/child/acquaintance type,0," 병원에 와있는데, 돈이 없어서 친구가 위험해요."
phishing_042,Impersonation of family/child/acquaintance type,1, 무슨 병원이야? 직접 가볼게.
phishing_042,Impersonation of family/child/acquaintance type,0," 아니, 그러지 말고, 지금 계좌로 넣어주세요."
phishing_043,Impersonation of family/child/acquaintance type,0," 여보세요, OO 선생님 맞으시죠? 제가 OOO 친구입니다."
phishing_043,Impersonation of family/child/acquaintance type,1," 네, 맞습니다. 어떤 일인가요?"
phishing_043,Impersonation of family/child/acquaintance type,0, OOO가 교통사고가 나서 병원에 있는 상황입니다. 급히 돈이 필요해요.
phishing_043,Impersonation of family/child/acquaintance type,1," 아, 그렇군요. 어떻게 도와드리면 될까요?"
phishing_043,Impersonation of family/child/acquaintance type,0, 지금 즉시 계좌로 돈을 보내주시면 감사하겠습니다.
phishing_044,Impersonation of family/child/acquaintance type,0," 여보세요? 엄마, 나 OOO야. 큰일 났어!"
phishing_044,Impersonation of family/child/acquaintance type,1, OOO? 무슨 일이야? 왜 그래?
phishing_044,Impersonation of family/child/acquaintance type,0, 친구랑 여행 갔다가 문제가 생겼어. 돈이 필요해.
phishing_044,Impersonation of family/child/acquaintance type,1, 얼마나 필요한데? 어디로 보내면 돼?
phishing_044,Impersonation of family/child/acquaintance type,0, 계좌번호 불러줄게. 빨리 보내줘.
phishing_045,Impersonation of family/child/acquaintance type,0," 여보세요, 아빠? 나 OOO인데 휴대폰이 고장 나서 임시번호 써."
phishing_045,Impersonation of family/child/acquaintance type,1," OOO야, 무슨 일이야? 왜 그래?"
phishing_045,Impersonation of family/child/acquaintance type,0, 친구가 사고가 났는데 돈이 급히 필요해. 좀 보내줄 수 있어?
phishing_045,Impersonation of family/child/acquaintance type,1, 어디로 보내야 해? 자세히 얘기해봐.
phishing_045,Impersonation of family/child/acquaintance type,0, 지금 병원이라 바로 보내주면 도움될 것 같아.
phishing_046,Impersonation of family/child/acquaintance type,0," 여보세요, OOO야. 오랜만이야, 잘 지냈어?"
phishing_046,Impersonation of family/child/acquaintance type,1," 어, OOO? 네 오빠인데 갑자기 무슨 일이야?"
phishing_046,Impersonation of family/child/acquaintance type,0, 나 지금 급히 돈이 필요해서 그래. 급하게 처리해야 할 일이 생겼어.
phishing_046,Impersonation of family/child/acquaintance type,1, 무슨 일인데 그래? 갑자기 돈 얘기하니까 당황스럽네.
phishing_046,Impersonation of family/child/acquaintance type,0, 친구가 사고를 당했는데 내가 먼저 돈을 좀 보내줘야 해. 나중에 설명할게.
phishing_047,Impersonation of family/child/acquaintance type,0," 여보세요, OOO님 맞으시죠? 서울경찰청입니다."
phishing_047,Impersonation of family/child/acquaintance type,1, 네? 서울경찰청이라고요? 무슨 일인가요?
phishing_047,Impersonation of family/child/acquaintance type,0, OOO님의 아드님이 사고를 당했습니다. 지금 병원비가 급히 필요합니다.
phishing_047,Impersonation of family/child/acquaintance type,1, 아들이요? 어디서 사고가 났다고요? 제가 직접 확인해야겠어요.
phishing_047,Impersonation of family/child/acquaintance type,0, 지금 급하게 돈을 보내주셔야 합니다. 계좌 번호 불러드릴게요.
phishing_048,Impersonation of family/child/acquaintance type,0," 안녕하세요, OOO씨? 보험사입니다."
phishing_048,Impersonation of family/child/acquaintance type,1," 네, OOO입니다. 보험사라니 무슨 일인가요?"
phishing_048,Impersonation of family/child/acquaintance type,0, 아드님이 교통사고를 당했는데 병원비 청구가 필요합니다.
phishing_048,Impersonation of family/child/acquaintance type,1, 아들이요? 그런 전화를 못 받았는데요. 직접 확인해볼게요.
phishing_048,Impersonation of family/child/acquaintance type,0, 시간이 없으니 지금 바로 송금해 주셔야 합니다.
phishing_049,Impersonation of family/child/acquaintance type,0," 여보세요, OOO 이모세요? 저 OOO예요."
phishing_049,Impersonation of family/child/acquaintance type,1, OOO야? 목소리가 이상한데 무슨 일이야?
phishing_049,Impersonation of family/child/acquaintance type,0," 급히 돈이 필요해요, 친구가 큰일이 생겼어요."
phishing_049,Impersonation of family/child/acquaintance type,1, 친구가 무슨 일이야? 왜 너한테 돈을 요구하는데?
phishing_049,Impersonation of family/child/acquaintance type,0," 설명할 시간이 없어요. 이모, 제발 도와주세요."
phishing_050,Impersonation of family/child/acquaintance type,0," OOO님, 여보세요? 국세청입니다."
phishing_050,Impersonation of family/child/acquaintance type,1," 네, OOO입니다. 무슨 일인가요?"
phishing_050,Impersonation of family/child/acquaintance type,0, OOO님의 아드님이 세금 문제로 조사를 받고 있습니다. 즉시 납부가 필요합니다.
phishing_050,Impersonation of family/child/acquaintance type,1, 그런 전화를 받은 적이 없는데요. 직접 확인해볼게요.
phishing_050,Impersonation of family/child/acquaintance type,0, 지금 바로 송금하지 않으면 문제가 커질 수 있습니다.
phishing_051,Impersonation of family/child/acquaintance type,0," 여보세요, OOO 어머니 맞으신가요? OOO가 사고를 당해서 병원입니다."
phishing_051,Impersonation of family/child/acquaintance type,1, 네? OOO가 사고를 당했다고요? 지금 어디에 있는 거예요?
phishing_051,Impersonation of family/child/acquaintance type,0, 현재 응급실에 있습니다. 수술비가 필요해서 급히 연락드렸습니다.
phishing_051,Impersonation of family/child/acquaintance type,1," 아, 그렇군요. 얼마나 필요한가요?"
phishing_051,Impersonation of family/child/acquaintance type,0, 200만 원 정도 필요합니다. 가능한 빨리 송금 부탁드립니다.
phishing_052,Impersonation of family/child/acquaintance type,0," 여보세요? OOO야, 나야. 내 전화기 고장 나서 친구 걸로 연락해."
